Course Code,Course,Institution,Level,Topic,Participant,Pre,Post,Difference,Pre Duration (seconds),Post Duration (seconds)
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,1,3,9.5,6.5,12864,7111
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,2,5.5,7.5,2,1114,1596
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,3,2.5,7,4.5,814,474
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,4,3,3.5,0.5,1386,1062
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,5,2.5,3.5,1,231994,774
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,6,1,4,3,55788,403
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,7,2.5,4,1.5,524,950
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,8,12,10.5,-1.5,1554,1385
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,9,4,8.5,4.5,724,880
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,10,7.5,9.5,2,1317,778
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,11,6.5,6,-0.5,752,649
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,12,6,11,5,9912,432
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,13,2.5,9.5,7,356,22159
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,14,2,3,1,575,410
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,15,4.5,10.5,6,465,1011
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,16,6.5,6.5,0,558,763
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,17,4,5.5,1.5,235,521
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,18,2.5,3,0.5,303,553
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,19,1,1.5,0.5,142,109
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,20,2,2,0,90,963
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,21,4.5,5,0.5,558,459
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,22,8.5,9,0.5,632,678
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,23,3,8,5,770,1062
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,24,6,5.5,-0.5,1290,1212
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,25,10,8.5,-1.5,2556,692
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,26,5.5,9,3.5,865,553
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,27,7.5,10.5,3,1061,2129
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,28,4,12.5,8.5,545,1166
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,29,9.5,9,-0.5,166145,403
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,30,5.5,8.5,3,3000,1243
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,31,2,7,5,301,331
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,32,8,11.5,3.5,548,621
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,33,3,2.5,-0.5,801,1928
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,34,1.5,9,7.5,913,561
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,35,6.5,6,-0.5,888,1196
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,36,6,8.5,2.5,905,757
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,37,8,10,2,3968,1288
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,38,3,8,5,411,103
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,39,4.5,8,3.5,4199,1853
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,40,10,8,-2,1738,1861
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,41,2.5,8,5.5,283,487
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,42,4,5.5,1.5,184,507
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,43,3,12,9,462,794
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,44,5.5,10,4.5,633,634
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,45,3,3,0,542,136
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,46,4.5,7,2.5,177,536
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,47,5.5,9.5,4,1698,3021
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,48,2,4.5,2.5,643,204
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,49,5.5,9.5,4,1020,1391
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,50,5,10.5,5.5,885,1257
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,51,4,4,0,551,178
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,52,1,7.5,6.5,335,572
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,53,11,9.5,-1.5,2647,2700
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,54,7.5,8.5,1,750,1517
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,55,3,4,1,333,872
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,56,1.5,6,4.5,959,621
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,57,8.5,12.5,4,1414,701
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,58,4,4.5,0.5,244787,1161
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,59,13.5,11,-2.5,820,2813
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,60,4,9.5,5.5,580,295861
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,61,7.5,8.5,1,336850,762
F19_UNO,Mol_Bio,1R,upper,Molecular Biology,62,7.5,8,0.5,163577,856
